"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
"  SKU",85749,"[S]Disc color=White,[S]Disc weight=167-169 grams",,116DMWHIT167,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19788,,,116DMBLUE167,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19788_source_1601483630.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19790,,,116DMPINK169,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19790_source_1601483691.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19792,,,116DMWHIT167,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19792_source_1601483771.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,8237,"Discmania Active Maestro",P,118DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;"">The MAESTRO is the brand new midrange featured in Discmania&rsquo;s Active lineup. The&nbsp;<span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;"">MAESTRO</span></span></span> is a low profile midrange with a bead that helps flight as well as making sure the disc releases smooth from the hand every time. This midrange has a straight flight with a slight slow speed fade making accurate approach shots a regular part of your game. While most midranges have &nbsp;a larger diameter, the&nbsp;<span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;"">MAESTRO</span></span></span> features the same diameter as drivers and putters making this disc fit more comfortably in the hand.</span></span></span></p> <p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></span></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-4.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-4.gif"" alt=""speed-4.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-3.gif"" alt=""glide-3.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-2.gif"" alt=""fade-2.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Mid-Range Driver</li> <li>Best Choice for: Straight shots, accuracy, headwinds</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",7.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",4,0,"Disc Golf/Discs/Midrange",42923,m/952/DSC03450__14743.JPG,"Discmania Active MAESTRO Blue Top View",N,0,42922,r/605/DSC03455__84954.JPG,"Discmania Active MAESTRO White Top View",N,1,42921,i/773/DSC03445__00040.JPG,"Discmania Active MAESTRO Pink Top View",Y,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/midrange/discmania-active-maestro/,,,,,,,,,,,,N,,"Speed=4;Glide=3;Turn=0;Fade=2;""Plastic Class=Basic"""
"  SKU",85754,"[S]Disc color=Blue,[S]Disc weight=167-169 grams",,118DMBLUE168,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85755,"[S]Disc color=White,[S]Disc weight=167-169 grams",," 118DMWHIT168",,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85756,"[S]Disc color=Pink,[S]Disc weight=160-166 grams",,118DMPINK166,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19804,,,118DMBLUE168,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19804_source_1601485653.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19806,,," 118DMWHIT168",,,,,,,,,,,,,,,,,Y,Y,,,,,,,19806_source_1601485721.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19808,,,118DMPINK166,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19808_source_1601485770.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
