"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Tax Provider Tax Code","Product Custom Fields"
"  SKU",86034,"[S]Select Options=Blue Metallic Stamp 174g",,130DMWHIT-BLUE,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",86035,"[S]Select Options=Flag Stamp 173g",,130DMWHIT-FLAG,,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",86036,"[S]Select Options=Purple Metallic Stamp 173g",,130DMWHIT-PURP,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",86037,"[S]Select Options=Red Fracture Stamp 173g",,130DMWHIT-RED,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",86038,"[S]Select Options=Jelly Bean Stamp 174g",,130DMWHIT-OIL,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,8241,"Discmania Active Sensei (Premium)",P,1781DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;"">The SENSEI is a low profile putter with an extremely flat top that fits great in any hand size. By far the most popular of the new active line releases from Dsicmania. This putter has a neutral flight with a slight fade at the end, that helps guarantee a strong connection with the chains and keeping putting flight consistent. The SENSEI also doubles as a great approach disc. When thrown from further out the SENSEI sails straight with little to no fade, making this disc perfect for all types of approach shots. The addition of the ""Premium"" plastic to this lineup is bonus for the Active line lovers. The grip on this champion like plastic is supreme. <br /></span></span></span></p> <p><span style=""font-weight: 400;""><span style=""font-weight: 400;""><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></span></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-3.gif"" alt=""speed-3.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-3.gif"" alt=""glide-3.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter</li> <li>Best Choice for: All around putter</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",15.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",7,0,"Disc Golf/Discs/Putter & Approach",42873,n/814/DSC03398__60259.JPG,,Y,0,42874,l/345/DSC03403__72549.JPG,,N,1,42875,j/643/DSC03409__55495.JPG,,N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/discmania-active-sensei-premium/,,,,,,,,,,,,N,,"Speed=3;Glide=3;Turn=0;Fade=1;""Plastic Class=Basic"""
"  SKU",85715,"[S]Disc color=Blue,[S]Disc weight=173-174 grams",,1781DMBLUE7374,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85716,"[S]Disc color=Pink,[S]Disc weight=173-174 grams",,1781DMPINK7374,,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85717,"[S]Disc color=Yellow,[S]Disc weight=173-174 grams",,1781DMYELL7374,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,8242,"Discmania Active Genius",P,115DMXX,,Discmania,"Disc Golf - Stock Models",Right,"<p><span style=""font-weight: 400;"">The Sun Crow is the first driver featured in our new Discmania Active lineup. Designed to flip and fly, the Sun Crow has massive amounts of turn making this the optimal disc for beginners as well as anyone looking for a disc that can do more. Due to its unique flight characteristics the Sun Crow is able to fill a variety of shots in the bag making this an optimal driver for any player. The Sun Crow uses its massive turn to carve shots in the air, navigate tight lines, and even turn into a roller that tears down the fairway.</span></p> <p><span style=""font-weight: 400;""><em>Please note: disc and stamp colors may vary from images shown.</em></span></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Discmania Active Baseline plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <p><img class=""__mce_add_custom__"" title=""speed-7.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-7.gif"" alt=""speed-7.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-5.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-5.gif"" alt=""glide-5.gif"" width=""70"" height=""62"" /></p> <p><img class=""__mce_add_custom__"" title=""turn-minus-4.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-minus-4.gif"" alt=""turn-minus-4.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" width=""70"" height=""62"" /><br /><a href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Fairway Driver</li> <li>Best Choice for: Turnover shots, straight lines, rollers, developing players</li> <li>Assorted weights between 165-170g</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",7.99,7.05,0.00,0.00,0.0000,N,,0.4000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",5,0,"Disc Golf/Discs/Fairway Driver",42926,f/472/DSC03440__50643.JPG,"Discmania Active GENIUS Blue Top View",N,0,42924,w/000/DSC03430__74238.JPG,"Discmania Active GENIUS Pink Top View",Y,1,42925,w/618/DSC03435__64111.JPG,"Discmania Active GENIUS White Top View",N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/fairway-driver/discmania-active-genius/,,,,,,,,,,,,N,,"Speed=7;Glide=5;Turn=-4;Fade=1;""Plastic Class=Basic"""
"  SKU",85757,"[S]Disc color=Blue,[S]Disc weight=167-169 grams",,115DMBLUE167,,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85758,"[S]Disc color=White,[S]Disc weight=167-169 grams",,115DMWHIT167,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85759,"[S]Disc color=Pink,[S]Disc weight=167-169 grams",,115DMPINK167,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19810,,,115DMBLUE167,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19810_source_1601486036.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19812,,,115DMWHIT167,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19812_source_1601486081.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19814,,,115DMPINK167,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19814_source_1601486121.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,8243,"Latitude 64 Keystone (Zero Hard)",P,12LATXX,,"Latitude 64","Disc Golf - Stock Models",Right,"<p>Featuring a comfortable grip and slightly deeper rim than Spike it will hold the line given to it on your approach shots. We recommend this disc to players looking for a good putter off the tee.</p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Latitude 64 Opto Line plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <div><img class=""__mce_add_custom__"" title=""speed-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-2.gif"" alt=""speed-3.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-5.gif"" alt=""glide-3.gif"" width=""70"" height=""62"" /></div> <p><img class=""__mce_add_custom__"" title=""turn-minus-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-minus-1.gif"" alt=""turn-minus-1.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" width=""70"" height=""62"" /><br /><a title=""About the flight characteristics numbering system"" href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter</li> <li>Diameter: 21.2cm</li> <li>Best Choice for: Driving putter, straight approaches</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",13.99,8.50,0.00,0.00,0.0000,N,,0.5000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",4,0,"Disc Golf/Discs/Putter & Approach",42867,m/621/DSC03420__74736.JPG,,Y,0,42868,l/064/DSC03424__17711.JPG,,N,1,42869,v/749/DSC03414__29597.JPG,,N,2,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/latitude-64-keystone-zero-hard/,,,LAT-7,,,,,,,,,N,,"Speed=3;Glide=3;Turn=-1;Fade=1;""Plastic Class=Candy"""
"  SKU",85708,"[S]Disc color=Pink,[S]Disc weight=173-174 grams",,12LATPINK7374,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85709,"[S]Disc color=Black,[S]Disc weight=175-176 grams",,12LATBLAC7576,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85710,"[S]Disc color=White,[S]Disc weight=175-176 grams",,12LATWHIT7576,,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85711,"[S]Disc color=Black,[S]Disc weight=173-174 grams",,12LATBLAC7374,,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",19743,,,12LATPINK7374,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19743_source_1601416330.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19745,,,12LATBLAC7576,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19745_source_1601416434.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19747,,,12LATWHIT7576,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19747_source_1601416504.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
"  Rule",19749,,,12LATBLAC7374,,,,,,,,,,,,,,,,,Y,Y,,,,,,,19749_source_1601416558.jpg,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,
Product,8251,"Innova RhynoX (DX)",P,9497ICDXX,,"Innova Disc Golf","Disc Golf - Stock Models",Right,"<p>The Rhyno X is an overstable putt and approach golf disc that can handle headwinds. Great for disc golfers with lots of throwing power as the Rhyno stops on a dime and stays close to the basket. It is a must have golf disc for short to medium up shots and putting into the wind. We recommend this disc to the player that likes overstable putters or putters with a groove top.</p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Innova's DX plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <div><img class=""__mce_add_custom__"" title=""speed-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-2.gif"" alt=""speed-2.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-1.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-1.gif"" alt=""glide-1.gif"" width=""70"" height=""62"" /></div> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-4.gif"" alt=""fade-3.gif"" /><br /><a title=""About the flight characteristics numbering system"" href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter</li> <li>Diameter: 21.2cm</li> <li>Best Choice for: Putting, short to medium drives, accuracy approaches</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",8.99,3.80,0.00,0.00,0.0000,N,,0.5000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",13,0,"Disc Golf/Discs/Putter & Approach",42957,v/789/DSC03989__48535.JPG,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/innova-rhynox-dx/,,,3568,,,,,,,,,N,,"Speed=2;Glide=1;Turn=0;Fade=3;""Plastic Class=Basic"""
"  SKU",85875,"[S]Disc color=White,[S]Disc weight=175-176 grams",," 9497-ICD-7576-WHIT ",,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85876,"[S]Disc color=Red,[S]Disc weight=175-176 grams",," 9497-ICD-7576-REDR",,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85877,"[S]Disc color=Orange,[S]Disc weight=175-176 grams",," 9497-ICD-7576-ORAN",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85878,"[S]Disc color=Blue,[S]Disc weight=175-176 grams",," 9497-ICD-7576-BLUE",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85879,"[S]Disc color=White,[S]Disc weight=170-172 grams",," 9497-ICD-7072-WHIT ",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85880,"[S]Disc color=Red,[S]Disc weight=170-172 grams",," 9497-ICD-7072-REDR",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85881,"[S]Disc color=Blue,[S]Disc weight=170-172 grams",," 9497-ICD-7072-BLUE",,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85882,"[S]Disc color=Yellow,[S]Disc weight=170-172 grams",," 9497-ICD-7072-YELL",,,,,,,0.00,,,,N,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85883,"[S]Disc color=White,[S]Disc weight=167-169 grams",," 9497-ICD-6769-WHIT ",,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85884,"[S]Disc color=White,[S]Disc weight=160-166 grams",," 9497-ICD-6066-WHIT ",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",88608,"[S]Disc color=Pink,[S]Disc weight=170-172 grams",,9497-ICD-7072-PINK,,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,8252,"Innova Invictus (GStar)",P,9499ICDXX,,"Innova Disc Golf","Disc Golf - Stock Models",Right,"<p>Invictus means &ldquo;unconquered&rdquo; in Latin and for long range throws into a headwind, there&rsquo;s no equal. Some pros refer to the Star Invictus as a &ldquo;faster Firebird.&rdquo; Innova Star Team&rsquo;s Garrett Gurthie says, &ldquo;If you think you have the power, you need this disc.&rdquo;</p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Innova's Star plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <div><img class=""__mce_add_custom__"" title=""speed-10.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-10.gif"" alt=""speed-10.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-4.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-5.gif"" alt=""glide-4.gif"" width=""70"" height=""62"" /></div> <p><img class=""__mce_add_custom__"" title=""turn-minus-1.gif"" src=""https://cdn11.bigcommerce.com/s-yt68tfv9/product_images/uploaded_images/turn-minus-1.gif"" alt=""turn-minus-1.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/fade-2.gif"" alt=""fade-3.gif"" width=""70"" height=""62"" /><br /><a title=""About the flight characteristics numbering system"" href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Long Distance Drivers</li> <li>Diameter: 21.2cm</li> <li>Best Choice for: Headwind drives, flex shots, big hyzers</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",16.99,8.05,0.00,0.00,0.0000,N,,0.5000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",6,0,"Disc Golf/Discs/Distance Driver",42956,i/210/DSC04094__73396.JPG,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/distance-driver/innova-invictus-gstar/,,,,,,,,,,,,N,,"Speed=10;Glide=4;Turn=0;Fade=3;""Plastic Class=Premium"""
"  SKU",85885,"[S]Disc color=Red,[S]Disc weight=175-176 grams",," 9499-ICD-7576-REDR",,,,,,,0.00,,,,N,,,,,,,,,,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85886,"[S]Disc color=Green,[S]Disc weight=175-176 grams",," 9499-ICD-7576-GREE",,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85887,"[S]Disc color=Orange,[S]Disc weight=175-176 grams",," 9499-ICD-7576-ORAN",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product,8253,"Innova Invader (DX)",P,9501ICDXX,,"Innova Disc Golf","Disc Golf - Stock Models",Right,"<p>The Invader is one of the best driving and approach putters available. Its flat-top profile features a rounded, small bead rim making it easy to grip-n-rip straight flights. Put torque onto the Invader, it can handle it&mdash;backhand and forehand. We&rsquo;re launching Invader in durable and grippy Luster plastic.</p> <p><em>Please note: disc and stamp colors may vary from images shown.</em></p> <p>Information about <a title=""Information about this plastic type"" href=""https://www.wrightlife.com/plastic-types-and-descriptions/"">Innova's DX plastic</a></p> <h3>FLIGHT CHARACTERISTICS</h3> <div><img class=""__mce_add_custom__"" title=""speed-3.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/speed-3.gif"" alt=""speed-3.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""glide-2.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/glide-2.gif"" alt=""glide-2.gif"" width=""70"" height=""62"" /></div> <p><img class=""__mce_add_custom__"" title=""turn-zero.gif"" src=""https://cdn2.bigcommerce.com/server100/yt68tfv9/product_images/uploaded_images/turn-zero.gif"" alt=""turn-zero.gif"" width=""70"" height=""62"" /><img class=""__mce_add_custom__"" title=""fade-1.gif"" src=""https://cdn11.bigcommerce.com/s-yt68tfv9/product_images/uploaded_images/fade-1.gif"" alt=""fade-1.gif"" width=""70"" height=""62"" /><br /><a title=""About the flight characteristics numbering system"" href=""https://www.wrightlife.com/flight-bar-details/"">(What is this?)</a></p> <h3>SPECIFICATIONS</h3> <ul> <li>Classification: Putter</li> <li>Best Choice for: High-speed putter, less carry, short to medium approaches</li> </ul> <h3>More Information</h3> <p><a title=""Wright Life staff picks"" href=""https://www.wrightlife.com/staff-picks/"">See what the Wright Life staff have in their bag</a></p> <p><a title=""Learn why discs fly the way they do"" href=""https://www.wrightlife.com/the-nature-of-flight/"">Learn about the ""Nature of Disc Flight""</a></p>",8.99,8.05,0.00,0.00,0.0000,N,,0.5000,8.2500,0.5000,8.2500,Y,Y,"Ships in 1-2 Days","by option",15,0,"Disc Golf/Discs/Putter & Approach",42968,y/338/DSC03998__68459.JPG,,Y,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,,N,,,0,"Default Tax Class",,N,/disc-golf/discs/putter-approach/innova-invader-dx/,,,,,,,,,,,,N,,"Speed=3;Glide=2;Turn=0;Fade=1;""Plastic Class=Basic"""
"  SKU",85866,"[S]Disc color=White,[S]Disc weight=175-176 grams",," 9501-ICD-7576-WHIT",,,,,,,0.00,,,,N,,,,,,,,,,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85867,"[S]Disc color=Yellow,[S]Disc weight=175-176 grams",," 9501-ICD-7576-YELL",,,,,,,0.00,,,,N,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85868,"[S]Disc color=Orange,[S]Disc weight=175-176 grams",," 9501-ICD-7576-ORAN",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  SKU",85869,"[S]Disc color=Yellow,[S]Disc weight=170-172 grams",," 9501-ICD-7072-YELL",,,,,,,0.00,,,,N,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
